modGenes	module	colourRGB
ENSBTAG00000008112	magenta	#FF00FF
ENSBTAG00000008114	salmon	#FA8072
ENSBTAG00000008118	midnightblue	#191970
ENSBTAG00000008122	pink	#FFC0CB
ENSBTAG00000008124	blue	#0000FF
ENSBTAG00000008125	brown	#A52A2A
ENSBTAG00000008126	blue	#0000FF
ENSBTAG00000008131	blue	#0000FF
ENSBTAG00000008133	grey60	#999999
ENSBTAG00000008135	pink	#FFC0CB
ENSBTAG00000008136	grey60	#999999
ENSBTAG00000008142	brown	#A52A2A
ENSBTAG00000008143	greenyellow	#ADFF2F
ENSBTAG00000008145	blue	#0000FF
ENSBTAG00000008147	blue	#0000FF
ENSBTAG00000008151	pink	#FFC0CB
ENSBTAG00000008153	yellow	#FFFF00
ENSBTAG00000008159	blue	#0000FF
ENSBTAG00000008167	white	#FFFFFF
ENSBTAG00000008169	blue	#0000FF
ENSBTAG00000008170	blue	#0000FF
ENSBTAG00000008173	greenyellow	#ADFF2F
ENSBTAG00000008176	royalblue	#4169E1
ENSBTAG00000008182	blue	#0000FF
ENSBTAG00000008183	green	#00FF00
ENSBTAG00000008184	grey60	#999999
